intersection_id,display_name,latitude,longitude,osm_node_id,source
osm-2470266459,Semáforo 2470266459,-27.103638,-52.618271,2470266459,osm
osm-2470266460,Semáforo 2470266460,-27.103642,-52.618094,2470266460,osm
osm-2470266463,Semáforo 2470266463,-27.103768,-52.618312,2470266463,osm
osm-2470266464,Semáforo 2470266464,-27.103828,-52.618117,2470266464,osm
osm-2477565005,Semáforo 2477565005,-27.103949,-52.619695,2477565005,osm
osm-2477565007,Semáforo 2477565007,-27.103962,-52.619524,2477565007,osm
osm-2477565011,Semáforo 2477565011,-27.104091,-52.619754,2477565011,osm
osm-2477565013,Semáforo 2477565013,-27.104136,-52.619548,2477565013,osm
osm-2477565018,Semáforo 2477565018,-27.112577,-52.617295,2477565018,osm
osm-2477565019,Semáforo 2477565019,-27.112591,-52.617124,2477565019,osm
osm-2477565023,Semáforo 2477565023,-27.112739,-52.617324,2477565023,osm
osm-2477565026,Semáforo 2477565026,-27.112768,-52.617147,2477565026,osm
osm-2779844346,Semáforo 2779844346,-27.101103,-52.618976,2779844346,osm
osm-2779844348,Semáforo 2779844348,-27.101112,-52.6188,2779844348,osm
osm-2779844349,Semáforo 2779844349,-27.101256,-52.619059,2779844349,osm
osm-2779844350,Semáforo 2779844350,-27.101286,-52.618815,2779844350,osm
osm-3385066298,Semáforo 3385066298,-27.082798,-52.623089,3385066298,osm
osm-3385066299,Semáforo 3385066299 (forward),-27.083005,-52.623078,3385066299,osm
osm-3385066300,Semáforo 3385066300,-27.08303,-52.622846,3385066300,osm
osm-3404158882,Semáforo 3404158882,-27.105724,-52.619201,3404158882,osm
osm-3404158883,Semáforo 3404158883,-27.105755,-52.618993,3404158883,osm
osm-3404158886,Semáforo 3404158886,-27.105878,-52.619223,3404158886,osm
osm-3404158887,Semáforo 3404158887,-27.105932,-52.619049,3404158887,osm
osm-3677079885,Semáforo 3677079885 (forward),-27.093069,-52.622534,3677079885,osm
osm-3677079886,Semáforo 3677079886 (backward),-27.093125,-52.622789,3677079886,osm
osm-3781123754,Semáforo 3781123754,-27.104973,-52.600335,3781123754,osm
osm-3839243161,Semáforo 3839243161,-27.108569,-52.611103,3839243161,osm
osm-3839243166,Semáforo 3839243166,-27.108591,-52.611197,3839243166,osm
osm-3839243170,Semáforo 3839243170,-27.108648,-52.611079,3839243170,osm
osm-3902360283,Semáforo 3902360283,-27.110053,-52.617998,3902360283,osm
osm-3902360284,Semáforo 3902360284,-27.110066,-52.617836,3902360284,osm
osm-3902360285,Semáforo 3902360285,-27.110196,-52.618028,3902360285,osm
osm-3902360286,Semáforo 3902360286,-27.110219,-52.617856,3902360286,osm
osm-4006536138,Semáforo 4006536138,-27.088717,-52.60466,4006536138,osm
osm-4436130246,Semáforo 4436130246,-27.096772,-52.662805,4436130246,osm
osm-520931757,Semáforo 520931757,-27.103404,-52.616702,520931757,osm
osm-5521375532,Semáforo 5521375532,-27.093196,-52.622578,5521375532,osm
osm-6414881580,Semáforo 6414881580 (backward),-27.096608,-52.662711,6414881580,osm
osm-6414881582,Semáforo 6414881582,-27.096735,-52.662417,6414881582,osm
osm-7141542077,Semáforo 7141542077,-27.107056,-52.595799,7141542077,osm
osm-7280998617,Semáforo 7280998617,-27.104913,-52.600006,7280998617,osm
osm-7683649412,Semáforo 7683649412,-27.078036,-52.624714,7683649412,osm
osm-7683649413,Semáforo 7683649413,-27.077841,-52.624933,7683649413,osm
osm-7683649415,Semáforo 7683649415,-27.077948,-52.624664,7683649415,osm
